****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 15 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 28x416407
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 1.572	Loglikelihood: -8.65265e+06	(delta): 8.57474e+06
2 (EM) 	Elapsed: 1.488	Loglikelihood: -8.23906e+06	(delta): 413585
3 (EM) 	Elapsed: 1.541	Loglikelihood: -8.02932e+06	(delta): 209749
4 (EM) 	Elapsed: 1.532	Loglikelihood: -7.80278e+06	(delta): 226532
5 (EM) 	Elapsed: 1.528	Loglikelihood: -7.54116e+06	(delta): 261619
Initial loglikelihood: -7.54116e+06
Starting main algorithm
1 (QN/Block) 	Elapsed: 3.96	Loglikelihood: -5.84441e+06	(delta): 1.69675e+06
2 (QN/Block) 	Elapsed: 3.598	Loglikelihood: -5.34396e+06	(delta): 500449
3 (QN/Block) 	Elapsed: 3.74	Loglikelihood: -5.11684e+06	(delta): 227127
4 (QN/Block) 	Elapsed: 3.863	Loglikelihood: -5.0087e+06	(delta): 108139
5 (QN/Block) 	Elapsed: 3.702	Loglikelihood: -4.96024e+06	(delta): 48453.9
6 (QN/Block) 	Elapsed: 4.115	Loglikelihood: -4.94223e+06	(delta): 18010.9
7 (QN/Block) 	Elapsed: 4.593	Loglikelihood: -4.93338e+06	(delta): 8855.26
8 (QN/Block) 	Elapsed: 4.451	Loglikelihood: -4.93054e+06	(delta): 2841.29
9 (QN/Block) 	Elapsed: 4.496	Loglikelihood: -4.92973e+06	(delta): 809.232
10 (QN/Block) 	Elapsed: 4.344	Loglikelihood: -4.92948e+06	(delta): 250.574
11 (QN/Block) 	Elapsed: 4.446	Loglikelihood: -4.92942e+06	(delta): 54.8626
12 (QN/Block) 	Elapsed: 4.23	Loglikelihood: -4.9294e+06	(delta): 22.8209
13 (QN/Block) 	Elapsed: 4.079	Loglikelihood: -4.92939e+06	(delta): 12.3107
14 (QN/Block) 	Elapsed: 4.091	Loglikelihood: -4.92947e+06	(delta): -83.9713
15 (QN/Block) 	Elapsed: 4.071	Loglikelihood: -4.92947e+06	(delta): 1.50549
16 (QN/Block) 	Elapsed: 4.074	Loglikelihood: -4.92947e+06	(delta): -4.90465
17 (QN/Block) 	Elapsed: 4.409	Loglikelihood: -4.92947e+06	(delta): -0.24577
18 (QN/Block) 	Elapsed: 4.174	Loglikelihood: -4.92947e+06	(delta): 0.423967
19 (QN/Block) 	Elapsed: 4.193	Loglikelihood: -4.92949e+06	(delta): -20.4556
20 (QN/Block) 	Elapsed: 3.969	Loglikelihood: -4.92948e+06	(delta): 17.3609
21 (QN/Block) 	Elapsed: 4.286	Loglikelihood: -4.92947e+06	(delta): 7.17671
22 (QN/Block) 	Elapsed: 4.268	Loglikelihood: -4.92947e+06	(delta): 1.46244
23 (QN/Block) 	Elapsed: 4.131	Loglikelihood: -4.92947e+06	(delta): 1.60686
24 (QN/Block) 	Elapsed: 4.104	Loglikelihood: -4.92947e+06	(delta): -1.29435
25 (QN/Block) 	Elapsed: 4.238	Loglikelihood: -4.92946e+06	(delta): 2.61313
26 (QN/Block) 	Elapsed: 4.257	Loglikelihood: -4.92951e+06	(delta): -46.9398
27 (QN/Block) 	Elapsed: 4.15	Loglikelihood: -4.92951e+06	(delta): 5.57659
28 (QN/Block) 	Elapsed: 3.885	Loglikelihood: -4.92952e+06	(delta): -11.6989
29 (QN/Block) 	Elapsed: 3.555	Loglikelihood: -4.92952e+06	(delta): 2.40447
30 (QN/Block) 	Elapsed: 3.642	Loglikelihood: -4.92952e+06	(delta): -6.93775
31 (QN/Block) 	Elapsed: 3.936	Loglikelihood: -4.92951e+06	(delta): 8.7945
32 (QN/Block) 	Elapsed: 4.018	Loglikelihood: -4.92951e+06	(delta): 1.80079
33 (QN/Block) 	Elapsed: 4.052	Loglikelihood: -4.92952e+06	(delta): -4.99523
34 (QN/Block) 	Elapsed: 4.367	Loglikelihood: -4.92951e+06	(delta): 6.92146
35 (QN/Block) 	Elapsed: 4.294	Loglikelihood: -4.92952e+06	(delta): -14.2073
36 (QN/Block) 	Elapsed: 4.194	Loglikelihood: -4.92951e+06	(delta): 14.6933
