time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.86999e-05	168.642
1	1.86999e-05	4.05741e-05	168.642
2	4.05741e-05	6.61615e-05	954.412
3	6.61615e-05	9.60923e-05	809.382
4	9.60923e-05	0.000131104	634.444
5	0.000131104	0.000172059	574.437
6	0.000172059	0.000219966	533.82
7	0.000219966	0.000276005	494.995
8	0.000276005	0.000341556	469.745
9	0.000341556	0.000418235	473.339
10	0.000418235	0.000507931	511.411
11	0.000507931	0.000612852	588.695
12	0.000612852	0.000735583	707.678
13	0.000735583	0.000879148	864.807
14	0.000879148	0.00104708	1048.92
15	0.00104708	0.00124353	1239.02
16	0.00124353	0.00147331	1403.03
17	0.00147331	0.00174211	1504.04
18	0.00174211	0.00205653	1515.62
19	0.00205653	0.00242433	1433.95
20	0.00242433	0.00285456	1279.22
21	0.00285456	0.00335782	1085.74
22	0.00335782	0.00394651	887.919
23	0.00394651	0.00463513	719.839
24	0.00463513	0.00544064	602.242
25	0.00544064	0.00638289	528.218
26	0.00638289	0.00748508	484.374
27	0.00748508	0.00877437	470.518
28	0.00877437	0.0102825	470.518
29	0.0102825	0.0120467	623.484
30	0.0120467	0.0141103	623.484
31	0.0141103	inf	623.484
