time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.87588e-05	499.406
1	1.87588e-05	4.07019e-05	499.406
2	4.07019e-05	6.63699e-05	521.089
3	6.63699e-05	9.63949e-05	545.015
4	9.63949e-05	0.000131517	478.011
5	0.000131517	0.000172601	420.725
6	0.000172601	0.000220658	391.708
7	0.000220658	0.000276874	382.805
8	0.000276874	0.000342632	395.31
9	0.000342632	0.000419552	431.379
10	0.000419552	0.00050953	498.823
11	0.00050953	0.000614782	602.498
12	0.000614782	0.0007379	741.971
13	0.0007379	0.000881917	913.386
14	0.000881917	0.00105038	1107.09
15	0.00105038	0.00124744	1300.11
16	0.00124744	0.00147795	1454.02
17	0.00147795	0.0017476	1529.21
18	0.0017476	0.00206301	1504.15
19	0.00206301	0.00243196	1381.61
20	0.00243196	0.00286355	1193.35
21	0.00286355	0.00336839	991.027
22	0.00336839	0.00395894	815.175
23	0.00395894	0.00464972	681
24	0.00464972	0.00545777	589.498
25	0.00545777	0.00640299	524.429
26	0.00640299	0.00750865	458.782
27	0.00750865	0.00880201	384.01
28	0.00880201	0.0103149	384.01
29	0.0103149	0.0120846	41.0996
30	0.0120846	0.0141547	41.0996
31	0.0141547	inf	41.0996
