time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.44182e-06	2289.9
1	9.44182e-06	2.04864e-05	2289.9
2	2.04864e-05	3.34058e-05	5381.27
3	3.34058e-05	4.85182e-05	4250.41
4	4.85182e-05	6.6196e-05	3352.35
5	6.6196e-05	8.68746e-05	2551.39
6	8.68746e-05	0.000111063	1946.39
7	0.000111063	0.000139358	1554.13
8	0.000139358	0.000172456	1319.5
9	0.000172456	0.000211172	1190.73
10	0.000211172	0.000256461	1131.44
11	0.000256461	0.000309437	1122.25
12	0.000309437	0.000371405	1156.43
13	0.000371405	0.000443893	1229.25
14	0.000443893	0.000528686	1329.12
15	0.000528686	0.000627872	1436.85
16	0.000627872	0.000743895	1531.6
17	0.000743895	0.000879613	1598.88
18	0.000879613	0.00103837	1631.26
19	0.00103837	0.00122407	1621.47
20	0.00122407	0.0014413	1563.19
21	0.0014413	0.0016954	1458.5
22	0.0016954	0.00199264	1317.07
23	0.00199264	0.00234033	1153.49
24	0.00234033	0.00274705	987.814
25	0.00274705	0.0032228	841.879
26	0.0032228	0.00377931	733.299
27	0.00377931	0.00443029	690.677
28	0.00443029	0.00519177	690.677
29	0.00519177	0.00608252	884.579
30	0.00608252	0.00712447	884.579
31	0.00712447	inf	884.579
