time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.23045e-05	587.244
1	1.23045e-05	2.66977e-05	587.244
2	2.66977e-05	4.35341e-05	1242.83
3	4.35341e-05	6.32285e-05	1724.39
4	6.32285e-05	8.62661e-05	1446.17
5	8.62661e-05	0.000113214	1172.51
6	0.000113214	0.000144737	1009.63
7	0.000144737	0.00018161	943.132
8	0.00018161	0.000224743	939.035
9	0.000224743	0.000275198	971.665
10	0.000275198	0.000334217	1028.13
11	0.000334217	0.000403255	1106.16
12	0.000403255	0.000484012	1204.79
13	0.000484012	0.000578478	1316.23
14	0.000578478	0.000688979	1427.95
15	0.000688979	0.000818237	1527.41
16	0.000818237	0.000969437	1602.81
17	0.000969437	0.0011463	1645.26
18	0.0011463	0.00135319	1649.51
19	0.00135319	0.0015952	1606.34
20	0.0015952	0.00187829	1510.9
21	0.00187829	0.00220944	1378.65
22	0.00220944	0.00259679	1231.39
23	0.00259679	0.0030499	1084.12
24	0.0030499	0.00357993	950.292
25	0.00357993	0.00419993	848.905
26	0.00419993	0.00492517	819.437
27	0.00492517	0.00577352	1435.51
28	0.00577352	0.00676588	1435.51
29	0.00676588	0.00792669	1.65098
30	0.00792669	0.00928455	1.65098
31	0.00928455	inf	1.65098
