time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.1959e-06	2121.32	71.0142	476.1540000000001
1	6.1959e-06	1.37633e-05	2121.32	71.0142	476.1540000000001
2	1.37633e-05	2.30056e-05	2286.7580000000003	0.893231	476.1540000000001
3	2.30056e-05	3.42938e-05	3015.562	0.893137	500.22180000000003
4	3.42938e-05	4.80806e-05	3491.6089999999995	0.893128	596.493
5	4.80806e-05	6.49191e-05	3286.478	1.32556	483.4247999999999
6	6.49191e-05	8.54848e-05	2789.512	2.77567	442.56140000000005
7	8.54848e-05	0.000110603	2239.6030000000005	3.94024	447.7013
8	0.000110603	0.00014128	1865.3500000000001	6.61145	431.96959999999996
9	0.00014128	0.000178749	1676.8860000000004	14.878	429.3726999999999
10	0.000178749	0.00022451	1622.96	38.0759	451.89
11	0.00022451	0.000280401	1661.0109999999995	92.639	509.10939999999994
12	0.000280401	0.000348664	1765.036	197.317	601.0219999999999
13	0.000348664	0.000432036	1975.994	363.324	733.3269999999999
14	0.000432036	0.000533863	2208.122	588.899	913.968
15	0.000533863	0.000658229	2453.4440000000004	861.482	1145.33
16	0.000658229	0.000810123	2666.544000000001	1160.24	1418.7029999999997
17	0.000810123	0.000995639	2805.6479999999997	1450.81	1761.217
18	0.000995639	0.00122222	2810.4320000000002	1680.55	2038.694
19	0.00122222	0.00149895	2734.5260000000003	1803.72	2210.034
20	0.00149895	0.00183694	2604.793999999999	1818.22	2250.696
21	0.00183694	0.00224974	2401.268	1755.24	2170.52
22	0.00224974	0.00275391	2187.45	1649.44	1968.3820000000003
23	0.00275391	0.00336969	2016.7040000000004	1526.95	1753.1460000000004
24	0.00336969	0.00412176	1993.1600000000003	1409.35	1512.8520000000005
25	0.00412176	0.0050403	2129.24	1325.44	1264.54
26	0.0050403	0.00616217	2129.24	1299.68	1147.02
27	0.00616217	0.00753235	2129.24	1334.73	1195.06
28	0.00753235	0.00920583	2129.24	1334.73	1336.09
29	0.00920583	0.0112497	2129.24	1515.28	1430.11
30	0.0112497	0.013746	2129.24	1515.28	1430.11
31	0.013746	inf	2129.24	1515.28	1430.11
