time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.13397e-06	3045.7999999999997	0.902163	456.406
1	6.13397e-06	1.36257e-05	3045.7999999999997	0.902163	456.406
2	1.36257e-05	2.27757e-05	2246.554	0.902164	456.406
3	2.27757e-05	3.39511e-05	2763.62	0.902145	456.406
4	3.39511e-05	4.76001e-05	3420.5389999999993	0.902145	347.21999999999997
5	4.76001e-05	6.42703e-05	3402.859999999999	0.902144	322.4358
6	6.42703e-05	8.46304e-05	2919.4100000000008	1.40105	331.61310000000003
7	8.46304e-05	0.000109497	2313.092	3.42221	384.28010000000006
8	0.000109497	0.000139868	1829.296	7.3414	318.581
9	0.000139868	0.000176962	1588.8489999999997	17.2767	295.64799999999997
10	0.000176962	0.000222266	1517.6350000000002	41.8918	311.1901
11	0.000222266	0.000277599	1558.1	97.2079	356.6921
12	0.000277599	0.000345179	1685.788	202.287	444.647
13	0.000345179	0.000427718	1883.7330000000004	368.235	587.9445999999999
14	0.000427718	0.000528527	2151.731	591.929	813.1344999999999
15	0.000528527	0.00065165	2417.365	860.613	1077.6870000000001
16	0.00065165	0.000802027	2651.254	1156.85	1385.3650000000002
17	0.000802027	0.000985688	2808.8540000000003	1453.48	1737.2579999999998
18	0.000985688	0.00121	2847.6410000000005	1703.1	2050.668
19	0.00121	0.00148397	2798.6739999999995	1851.0	2262.696
20	0.00148397	0.00181858	2715.2620000000006	1877.85	2315.9000000000005
21	0.00181858	0.00222726	2613.9569999999994	1808.16	2249.2160000000003
22	0.00222726	0.00272639	2516.03	1681.69	2094.148
23	0.00272639	0.00333601	2403.014	1535.48	1838.3880000000001
24	0.00333601	0.00408057	2357.61	1403.09	1590.9800000000002
25	0.00408057	0.00498993	2316.19	1312.28	1358.7259999999999
26	0.00498993	0.00610058	2316.19	1273.06	1170.266
27	0.00610058	0.00745707	2316.19	1282.62	1030.49
28	0.00745707	0.00911382	2316.19	1282.62	1014.0924000000001
29	0.00911382	0.0111373	2316.19	1413.7	989.4960000000002
30	0.0111373	0.0136087	2316.19	1413.7	989.4960000000002
31	0.0136087	inf	2316.19	1413.7	989.496
