time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.11606e-06	3144.4999999999995	0.904936	359.69
1	6.11606e-06	1.35859e-05	3144.4999999999995	0.904936	359.69
2	1.35859e-05	2.27092e-05	2634.06	0.904863	359.69
3	2.27092e-05	3.38519e-05	3424.954	0.904788	398.46270000000004
4	3.38519e-05	4.74611e-05	3946.125999999999	0.904786	747.4170000000003
5	4.74611e-05	6.40826e-05	3738.8499999999985	1.64039	505.4129999999999
6	6.40826e-05	8.43833e-05	3135.6840000000007	7.44553	337.5031000000001
7	8.43833e-05	0.000109178	2573.0190000000002	7.18376	323.7368
8	0.000109178	0.00013946	2086.9650000000006	9.93759	337.892
9	0.00013946	0.000176445	1816.4940000000001	17.3756	318.793
10	0.000176445	0.000221618	1689.9940000000004	37.62	321.03000000000003
11	0.000221618	0.000276788	1704.6310000000003	89.2481	365.5169999999999
12	0.000276788	0.000344171	1833.527	193.788	469.1696
13	0.000344171	0.000426469	2027.95	363.131	629.3227999999999
14	0.000426469	0.000526984	2255.511	592.993	847.0105999999998
15	0.000526984	0.000649748	2492.199	868.347	1145.99
16	0.000649748	0.000799685	2680.006	1168.33	1461.592
17	0.000799685	0.00098281	2796.5950000000003	1463.14	1813.3200000000004
18	0.00098281	0.00120647	2860.264	1706.96	2097.68
19	0.00120647	0.00147964	2871.747	1851.07	2266.3839999999996
20	0.00147964	0.00181327	2834.096	1879.42	2286.7250000000004
21	0.00181327	0.00222075	2770.8899999999994	1813.24	2206.7840000000006
22	0.00222075	0.00271843	2715.258	1687.57	2062.896
23	0.00271843	0.00332627	2788.196999999999	1538.29	1806.8000000000002
24	0.00332627	0.00406865	3278.227999999999	1401.27	1631.34
25	0.00406865	0.00497536	3999.2299999999996	1307.7	1545.4240000000002
26	0.00497536	0.00608277	3999.2299999999996	1268.88	1548.224
27	0.00608277	0.0074353	3999.2299999999996	1286.17	1609.9199999999998
28	0.0074353	0.00908721	3999.2299999999996	1286.17	1856.3249999999998
29	0.00908721	0.0111048	3999.2299999999996	1501.58	2102.7299999999996
30	0.0111048	0.0135689	3999.2299999999996	1501.58	2102.7299999999996
31	0.0135689	inf	3999.23	1501.58	2102.73
