time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.10611e-06	2019.2499999999998	0.906703	554.8970000000002
1	6.10611e-06	1.35638e-05	2019.2499999999998	0.906703	554.8970000000002
2	1.35638e-05	2.26723e-05	2883.4980000000005	39.1911	554.8970000000002
3	2.26723e-05	3.37969e-05	4039.2000000000003	59.9473	519.1214000000001
4	3.37969e-05	4.73839e-05	4588.039	6.61811	376.019
5	4.73839e-05	6.39784e-05	4080.238000000001	5.04532	640.5230999999999
6	6.39784e-05	8.4246e-05	3036.4220000000005	6.12736	678.1335
7	8.4246e-05	0.000109	2335.888	7.09908	565.8788999999999
8	0.000109	0.000139233	1907.3460000000002	9.20579	473.81019999999995
9	0.000139233	0.000176158	1685.2680000000005	15.8105	446.1228
10	0.000176158	0.000221257	1633.8960000000002	34.684	447.3187
11	0.000221257	0.000276338	1704.0410000000004	83.6483	481.33160000000004
12	0.000276338	0.000343611	1869.7669999999998	186.094	561.7608
13	0.000343611	0.000425776	2078.0049999999997	355.992	695.6071999999999
14	0.000425776	0.000526127	2307.3340000000003	589.828	883.2865
15	0.000526127	0.000648691	2543.1100000000006	869.896	1121.5907999999997
16	0.000648691	0.000798384	2732.1300000000006	1172.6	1427.3739999999998
17	0.000798384	0.000981211	2844.4600000000005	1468.36	1752.1810000000003
18	0.000981211	0.00120451	2895.491	1713.55	2062.514
19	0.00120451	0.00147723	2883.2700000000004	1862.03	2233.7119999999995
20	0.00147723	0.00181032	2784.9610000000002	1897.1	2284.562
21	0.00181032	0.00221714	2598.2700000000004	1833.2	2192.3540000000003
22	0.00221714	0.00271401	2364.588	1699.84	1959.296
23	0.00271401	0.00332086	2287.9169999999995	1534.69	1739.096
24	0.00332086	0.00406203	2743.3219999999997	1371.86	1566.9739999999997
25	0.00406203	0.00496727	3429.35	1226.59	1467.4180000000003
26	0.00496727	0.00607287	3429.35	1104.58	1420.7759999999998
27	0.00607287	0.0074232	3429.35	994.978	1415.2399999999998
28	0.0074232	0.00907243	3429.35	994.978	1578.9200000000003
29	0.00907243	0.0110867	3429.35	882.664	1688.0400000000002
30	0.0110867	0.0135468	3429.35	882.664	1688.0400000000002
31	0.0135468	inf	3429.35	882.664	1688.04
